"WELL_ID","WELL_NAME","WELL_TYPE","STATUS","DRILL_DATE","DEPTH_TO_BOTTOM","DEPTH_TO_BOTTOM_UNITS","DRY_WELL","WELL_PROJECT_PURPOSES","DATE_LAST_INSPECTED","DATE_LAST_SAMPLED_GW","DATE_LAST_WLM","GW_AREA_OF_INTEREST"
"A4655","199-K-30","GROUNDWATER WELL","DECOMMISSIONED-V","1979/10/30 12:00:00 AM","NaN","","","","2010/12/02 12:00:00 AM","2010/12/02 10:00:00 AM","2010/12/02 9:28:00 AM","100-KR"
"A4656","199-K-31","GROUNDWATER WELL","IN-USE","1986/04/01 12:00:00 AM","NaN","","","GROUNDWATER SAMPLE","2021/02/04 12:00:00 AM","2020/11/09 9:25:00 AM","2020/11/09 8:31:00 AM","100-KR"
"A4657","199-K-32A","GROUNDWATER WELL","IN-USE","1992/07/21 12:00:00 AM","NaN","","","GROUNDWATER SAMPLE","2020/11/20 12:00:00 AM","2020/11/20 9:28:00 AM","2020/11/20 9:03:00 AM","100-KR"
"A4658","199-K-32B","GROUNDWATER WELL","IN-USE","1992/05/04 12:00:00 AM","NaN","","","GROUNDWATER SAMPLE","2019/11/22 12:00:00 AM","2019/11/22 10:54:00 AM","2020/03/03 11:45:00 AM","100-KR"
"A4659","199-K-33","GROUNDWATER WELL","DECOMMISSIONED-V","1992/08/10 12:00:00 AM","NaN","","","","2003/05/30 12:00:00 AM","2003/05/30 12:00:00 PM","2003/05/30 10:23:00 AM","100-KR"
"A4660","199-K-34","GROUNDWATER WELL","IN-USE","1992/05/27 12:00:00 AM","NaN","","","GROUNDWATER SAMPLE","2020/11/17 12:00:00 AM","2020/11/17 9:51:00 AM","2020/11/17 8:55:00 AM","100-KR"
"A4661","199-K-35","GROUNDWATER WELL","DECOMMISSIONED-V","1992/08/21 12:00:00 AM","NaN","","","","2010/04/15 12:00:00 AM","2010/04/15 8:00:00 AM","2010/04/15 6:43:00 AM","100-KR"
"A4662","199-K-36","GROUNDWATER WELL","IN-USE","1992/07/20 12:00:00 AM","NaN","","","GROUNDWATER SAMPLE","2020/11/19 12:00:00 AM","2020/11/19 10:52:00 AM","2020/11/19 10:20:00 AM","100-KR"
"A4663","199-K-37","GROUNDWATER WELL","IN-USE","1992/05/04 12:00:00 AM","NaN","","","GROUNDWATER SAMPLE","2020/11/30 12:00:00 AM","2020/11/30 9:49:00 AM","2020/11/30 9:26:00 AM","100-KR"
"A4664","199-N-14","GROUNDWATER WELL","IN-USE","1969/05/13 12:00:00 AM","NaN","","","GROUNDWATER SAMPLE","2020/09/22 12:00:00 AM","2020/09/22 11:07:00 AM","2020/10/14 8:33:00 AM","100-NR"
