"WELL_ID","WELL_NAME","GW_AREA_OF_INTEREST","X","Y","Easting","Northing"
"A4550","199-B2-12","100-BC","-13318951.7765646","5883180.25388755","565368.44","145363.68"
"A4551","199-B2-13","100-BC","-13320817.0919704","5883055.72854809","564086.52","145264.56"
"A4552","199-B3-1","100-BC","-13318671.4933953","5883145.69783961","565561.455","145342.08"
"A4553","199-B3-46","100-BC","-13318179.4830932","5883179.65117526","565899.57","145369.04"
"A4554","199-B3-47","100-BC","-13318922.2957644","5883187.62097087","565388.66","145368.95"
"A4555","199-B4-1","100-BC","-13319075.0945333","5882347.04217802","565289.807","144791.53"
"A4556","199-B4-3","100-BC","-13319067.0139086","5882317.20011021","565295.586","144771.13"
"A4557","199-B4-4","100-BC","-13318953.1278095","5881890.91700026","565377.08","144479.705"
"A4558","199-B4-6","100-BC","-13318937.4953929","5881749.66396109","565388.881","144382.971"
"A4559","199-B4-8","100-BC","-13318657.6511616","5882141.60584997","565578.45","144653.79"
"A4560","199-B4-9","100-BC","-13318924.8215799","5882013.45068108","565395.64","144563.93"
"A4561","199-B5-1","100-BC","-13319673.9633654","5882314.67444291","564878.149","144764.899"
"A4562","199-B5-2","100-BC","-13318904.6777441","5882561.30123011","565405.427","144939.695"
"A4563","199-B8-6","100-BC","-13320234.8269394","5881435.24905772","564498.83","144157.79"
"A4564","199-B9-1","100-BC","-13318778.6878391","5881232.70392422","565501.959","144029.687"
"A4565","199-B9-2","100-BC","-13318730.2021831","5881302.75143267","565534.79","144078.08"
"A4566","199-B9-3","100-BC","-13318537.995653","5881254.92233184","565667.36","144046.72"
"A4567","199-D2-5","100-HR-D","-13306572.560109","5891478.8776462","573812.296","151148.184"
"A4568","199-D2-6","100-HR-D","-13307754.8452752","5891451.95436266","573000.21","151119.86"
"A4569","199-D5-12","100-HR-D","-13306525.5181922","5892075.51348545","573839.615","151557.198"
"A4570","199-D5-13","100-HR-D","-13306961.0097287","5892661.99858287","573535.527","151955.183"
"A4571","199-D5-14","100-HR-D","-13306594.1517324","5892413.35996232","573789.632","151787.99"
"A4572","199-D5-15","100-HR-D","-13306670.4416663","5892247.48027372","573738.61","151673.75"
"A4573","199-D5-16","100-HR-D","-13306410.5417219","5892213.27448866","573917.45","151652.51"
"A4574","199-D5-17","100-HR-D","-13306688.4578966","5891735.30028909","573730.52","151322.83"
"A4575","199-D5-18","100-HR-D","-13306497.5113887","5891736.38827853","573861.7","151325.18"
"A4576","199-D5-19","100-HR-D","-13306517.2796133","5891616.91640743","573849.12","151243.19"
"A4577","199-D5-20","100-HR-D","-13307389.8510889","5892776.70583327","573239.97","152030.15"
"A4578","199-D8-3","100-HR-D","-13306361.7801511","5893228.18937497","573942.429","152347.932"
"A4579","199-D8-4","100-HR-D","-13307087.1932603","5892860.72246086","573447.185","152090.212"
"A4580","199-D8-5","100-HR-D","-13306953.5371844","5893082.93471738","573537.146","152243.497"
"A4581","199-D8-53","100-HR-D","-13306436.4357471","5893381.46586721","573889.86","152452.26"
"A4582","199-D8-54A","100-HR-D","-13306595.4281079","5893318.8254266","573781.17","152408.03"
"A4583","199-D8-54B","100-HR-D","-13306614.4153532","5893305.36002685","573768.24","152398.65"
"A4584","199-D8-55","100-HR-D","-13306829.4066593","5893257.89699496","573620.954","152364.345"
"A4585","199-D8-6","100-HR-D","-13307105.8958523","5892818.03258987","573434.693","152060.822"
"A4586","199-F1-2","100-FR","-13297597.1759001","5887943.97160063","580011.044","148805.299"
"A4587","199-F5-1","100-FR","-13295815.6839489","5886360.83755873","581250.123","147736.865"
"A4588","199-F5-2","100-FR","-13296067.3415979","5886455.65073666","581076.247","147799.512"
"A4589","199-F5-3","100-FR","-13295921.7259217","5886387.30678711","581176.98","147754.023"
"A4590","199-F5-4","100-FR","-13296789.602199","5886077.51340086","580583.19","147533.731"
"A4591","199-F5-42","100-FR","-13295762.3429052","5886503.0601476","581285.48","147834.82"
"A4592","199-F5-43A","100-FR","-13295907.9062649","5886670.29075126","581183.872","147948.07"
"A4593","199-F5-43B","100-FR","-13295926.50321","5886688.50869949","581170.92","147960.382"
"A4594","199-F5-44","100-FR","-13296084.973486","5886811.49748154","581060.851","148043.196"
"A4595","199-F5-45","100-FR","-13296606.7994573","5886294.22958561","580706.877","147683.924"
"A4596","199-F5-46","100-FR","-13296409.3427574","5886433.98084359","580841.338","147781.509"
"A4597","199-F5-47","100-FR","-13296917.6099409","5886042.33641021","580495.509","147508.45"
"A4598","199-F5-48","100-FR","-13296881.9932494","5886306.92562365","580517.576","147690.098"
"A4599","199-F5-5","100-FR","-13296217.271381","5886655.48824827","580971.341","147935.07"
"A4600","199-F5-6","100-FR","-13296316.544508","5886812.85707716","580901.652","148041.992"
