"WELL_NAME","WELL_ID","SCREEN_ID","SCREEN_SIZE","SCREEN_SIZE_UNITS","SCREEN_DEPTH_TOP","SCREEN_DEPTH_BOTTOM","SCREEN_DEPTH_UNITS","SCREEN_MATERIAL","SCREEN_TYPE","SCREEN_SLOT_SIZE","SCREEN_SLOT_SIZE_UNITS"
"199-B2-12","A4550","6728","4","in","165","175","ft","STAINLESS STEEL","PIPE SIZE","0.01","in"
"199-B2-13","A4551","8983","4","in","14.4","35.5","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-B2-14","C7665","3950","6","in","41.89","66.89","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B2-15","C7783","5031","4","in","158.51","168.56","ft","STAINLESS STEEL","PIPE SIZE","0.01","in"
"199-B2-16","C7784","5048","6","in","112.06","147.07","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B3-46","A4553","8984","4","in","44.4","65.5","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-B3-47","A4554","8995","4","in","38.1","59.2","ft","STAINLESS STEEL","PIPE SIZE","4","in"
"199-B3-50","C7506","3809","6","in","69.19","89.19","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B3-51","C7785","5148","6","in","138.88","148.9","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B3-52","C7843","4868","4","in","42.5","57.49","ft","PVC","PIPE SIZE","0.02","in"
"199-B4-14","C7786","4792","6","in","72.65","92.66","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B4-15","C7846","4869","4","in","70.12","82.07","ft","PVC","PIPE SIZE","0.02","in"
"199-B4-16","C8776","5868","4","in","89","109","ft","STAINLESS STEEL","PIPE SIZE","0.04","in"
"199-B4-18","C8778","5888","4","in","169.3","194.3","ft","STAINLESS STEEL","PIPE SIZE","0.04","in"
"199-B4-5","A5540","10058","4","in","76.45","97.1","ft","STAINLESS STEEL","PIPE SIZE","20","in"
"199-B4-6","A4558","8996","4","in","76.43","96.19","ft","STAINLESS STEEL","PIPE SIZE","20","in"
"199-B4-7","A5541","9495","4","in","75.87","96.52","ft","STAINLESS STEEL","PIPE SIZE","20","in"
"199-B4-8","A4559","8997","4","in","54.7","85.8","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-B5-10","C8780","5908","4","in","75","95","ft","STAINLESS STEEL","PIPE SIZE","0.05","in"
"199-B5-11","C8781","5909","4","in","182","202.1","ft","STAINLESS STEEL","PIPE SIZE","0.01","in"
"199-B5-12","C8782","5928","4","in","81","101","ft","STAINLESS STEEL","PIPE SIZE","0.04","in"
"199-B5-13","C8783","5948","4","in","144.9","169.9","ft","STAINLESS STEEL","PIPE SIZE","0.04","in"
"199-B5-14","C8784","5968","4","in","58.31","78.26","ft","STAINLESS STEEL","PIPE SIZE","0.04","in"
"199-B5-2","A4562","8998","4","in","54","74","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-B5-5","C7505","3948","6","in","119.14","184.15","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B5-6","C7507","3949","6","in","164.9","190","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B5-8","C8244","5168","6","in","101","121.01","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B5-9","C8779","5889","4","in","161.3","186.3","ft","STAINLESS STEEL","PIPE SIZE","0",""
"199-B8-6","A4563","8999","4","in","68.7","88.7","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-B8-7","C5671","2734","2","in","67","87","ft","PVC","PIPE SIZE","0.02","in"
"199-B8-8","C5672","2735","2","in","89.38","109.45","ft","PVC","PIPE SIZE","0.02","in"
"199-B8-9","C7508","4793","6","in","90.09","110.09","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-B9-2","A4565","9000","4","in","90.4","110.4","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-B9-3","A4566","9001","4","in","89.3","105.3","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-D11-1","C9929","10517","6","in","50.38","55.48","ft","STAINLESS STEEL","PIPE SIZE","0.01","in"
"199-D2-10","C7089","3910","6","in","9.87","24.87","ft","STAINLESS STEEL","PIPE SIZE","0.055","in"
"199-D2-11","C5394","2495","4","in","80.07","110.1","ft","PVC","PIPE SIZE","0.02","in"
"199-D2-12","C7090","3804","6","in","11.84","26.84","ft","STAINLESS STEEL","PIPE SIZE","0.07","in"
"199-D2-6","A4568","9002","4","in","77.2","98.3","ft","STAINLESS STEEL","PIPE SIZE","10","in"
"199-D2-8","C3040","803","4","in","77.1","97.08","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D3-2","B8074","739","6","in","82.1","102.1","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D3-3","C3312","592","6","in","82.04","111.77","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D3-4","C3314","594","6","in","82.3","112.26","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D3-5","C7620","4908","6","in","73.8","103.8","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-1","B2895","729","6","in","74.65","94.67","ft","STAINLESS STEEL","PIPE SIZE","0.06","in"
"199-D4-10","B8068","885","6","in","81.09","96.05","ft","PVC","PIPE SIZE","0",""
"199-D4-101","C7580","4048","6","in","81.2","101.21","ft","STAINLESS STEEL","PIPE SIZE","0.045","in"
"199-D4-102","C9613","7288","10","in","76.28","96.29","ft","STAINLESS STEEL","PIPE SIZE","0",""
"199-D4-102","C9613","7289","10","in","96.29","101.29","ft","STAINLESS STEEL","PIPE SIZE","0",""
"199-D4-103","C9614","7268","10","in","79.98","100","ft","STAINLESS STEEL","PIPE SIZE","0.05","in"
"199-D4-11","B8069","734","6","in","80.21","95.2","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-12","B8070","735","6","in","81.47","96.45","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-13","B8071","736","6","in","71.8","91.8","ft","STAINLESS STEEL","PIPE SIZE","0.04","in"
"199-D4-14","B8072","737","6","in","76.08","96.12","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-15","B8073","738","6","in","77.64","97.64","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-16","B8110","743","4","in","80.15","82.6","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-16","B8110","742","4","in","86.61","89.08","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-16","B8110","741","4","in","93.08","95.56","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-17","B8459","746","4","in","80.61","83.09","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-17","B8459","745","4","in","87.13","89.61","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-17","B8459","744","4","in","93.64","96.13","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-18","B8460","749","4","in","79.38","81.85","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-18","B8460","748","4","in","86.93","88.43","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-18","B8460","747","4","in","92.51","95","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-19","B8746","764","6","in","76.93","106.93","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-2","B8058","880","4","in","83.65","88.63","ft","PVC","PIPE SIZE","0",""
"199-D4-2","B8058","879","4","in","93.65","98.63","ft","PVC","PIPE SIZE","0",""
"199-D4-20","B8750","768","6","in","80.8","100.83","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-21","B8755","773","6","in","82.11","97.09","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-22","B8778","777","4","in","79","99","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-23","B8779","778","4","in","64.3","84.3","ft","PVC","PIPE SIZE","0.02","in"
"199-D4-24","B8975","787","6","in","80.04","95.05","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-25","B8976","788","6","in","83.92","98.96","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-26","B8977","789","6","in","85.07","100.11","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-27","B8978","790","6","in","84.45","99.47","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
"199-D4-28","B8979","791","6","in","82.37","97.39","ft","STAINLESS STEEL","PIPE SIZE","0.02","in"
